Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,"1,749","1,831","1,596","1,733","2,156","2,367","2,556","2,953","3,300","3,698",,,,,,,,,,,,,,,,,,,,,,,"4,367","4,514","5,146","6,167","6,925","8,556","10,297","12,066","15,325","17,890","20,296","20,170","20,352","19,687","19,454","20,235","19,585","19,990","20,682","21,928","23,577","25,450","27,608"
Albania,"2,266","2,331","2,398","2,467","2,537","2,610","2,686","2,761","2,842","2,372","1,946","2,229","2,296","2,319","2,290","2,339","2,587","2,566","2,530","2,779","2,221","1,333",843,"1,461","2,361","2,882","3,200","2,259","2,560","3,209","3,483","3,928","4,348","5,611","7,185","8,052","8,905","10,675","12,901","12,093","11,938","12,896","12,323","12,784","13,238","11,393","11,865","13,055","15,202","15,960","17,210","18,602","20,199","21,790","23,472"
Algeria,"5,167","5,376","7,193","9,250","13,290","15,591","17,790","21,038","26,433","33,276","42,346","44,372","44,780","47,529","51,513","61,132","61,535","63,300","51,664","52,558","61,892","46,670","49,217","50,963","42,426","42,066","46,941","48,178","48,188","48,845","54,749","54,745","56,761","67,864","85,327","103,198","117,027","134,977","171,001","137,054","161,207","199,394","209,005","209,703","213,518","164,779","159,049","167,555","180,441","183,687","193,056","199,917","208,589","216,389","204,536"
Andorra,99,113,144,191,236,279,288,321,390,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,"3,807","4,007","4,102","5,016","5,627","4,147","3,981","4,344","4,845","5,380","5,934","5,554","5,554","5,788","6,135","7,559","7,077","8,089","8,775","10,208","11,236","10,891","8,398","6,095","4,438","5,539","6,535","7,675","6,506","6,153","9,130","8,936","12,497","14,189","19,641","28,234","41,789","60,449","84,178","75,492","82,471","104,116","115,342","124,912","126,777","102,962","95,337","122,124","107,316","92,191","96,426","100,359","104,698","110,351","116,848"
Anguilla,4,5,5,6,7,7,7,8,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,34,41,56,78,84,85,71,81,92,113,131,148,164,182,208,241,290,337,399,439,459,482,499,535,589,577,634,681,728,766,825,796,810,850,912,"1,013","1,147","1,299","1,358","1,216","1,146","1,140","1,214","1,194","1,273","1,353","1,460","1,516","1,626","1,717","1,809","1,891","1,968","2,047","2,130"
Argentina,"33,985","40,655","37,908","41,468","47,637","51,741","54,575","61,662","63,865","73,987","226,569","184,014","91,376","112,721","126,563","95,593","114,949","117,854","138,044","88,567","153,205","205,515","247,987","256,365","279,150","280,080","295,120","317,549","324,242","307,673","308,491","291,738","108,731","138,151","164,922","199,273","232,892","287,920","363,545","334,633","424,728","527,644","579,666","611,471","563,614","631,621","554,107","642,928","518,092","477,743","515,353","560,869","604,538","648,848","673,118"
Armenia,,,,,,,,,,,,,,,,,,,,,,,108,835,648,"1,287","1,597","1,639","1,892","1,845","1,912","2,118","2,376","2,807","3,577","4,900","6,384","9,206","11,662","8,648","9,260","10,142","10,619","11,121","11,610","10,529","10,572","11,537","12,411","13,105","13,868","14,588","15,367","16,199","17,081"
Aruba,177,186,196,206,217,229,241,254,268,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,700","2,833","2,875","2,952","3,048","3,149","3,255","3,364"
Australia,"45,121","50,360","59,269","85,621","102,047","108,853","117,298","116,222","135,608","150,133","163,085","188,596","187,233","179,654","197,330","174,556","181,656","213,309","271,398","308,276","323,921","324,597","318,146","309,639","353,222","379,770","425,593","426,674","381,088","411,828","399,297","376,908","424,521","540,428","657,442","734,786","781,934","949,164","1,057,171","997,169","1,249,703","1,504,236","1,561,052","1,509,639","1,449,336","1,229,938","1,264,944","1,386,357","1,418,275","1,417,003","1,481,461","1,550,575","1,630,072","1,716,124","1,800,983"
Austria,"15,336","17,816","22,007","29,444","35,104","39,962","42,856","51,423","61,901","73,763","80,743","69,965","69,954","70,874","66,857","68,470","97,157","121,499","133,293","132,965","166,493","174,045","195,069","189,958","203,514","240,747","236,828","212,610","217,994","217,010","196,998","197,123","213,725","261,220","300,264","315,188","334,603","386,995","429,638","398,602","390,940","429,431","407,677","428,382","439,073","377,157","390,961","417,672","457,637","459,589","481,678","502,028","523,123","544,344","567,014"
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,"1,193","1,309","2,258","2,417","3,177","3,963","4,280","4,581","5,273","5,475","6,232","7,276","8,682","13,273","21,027","33,090","46,378","44,289","52,913","64,819","68,700","73,557","75,194","50,818","37,810","41,256","45,418","45,248","47,429","49,129","50,795","52,806","55,098"
Bahamas,568,605,624,708,756,892,971,"1,162","1,336","1,579","2,598","2,692","3,031","3,373","3,603","3,923","4,241","4,669","4,855","5,473","5,218","5,128","5,125","5,097","5,372","5,653","5,950","6,332","6,833","7,684","8,076","8,318","8,881","8,870","9,055","9,836","10,167","10,618","10,526","9,982","10,096","10,070","10,720","10,677","10,844","11,240","11,262","12,162","12,803","13,262","13,710","14,231","14,785","15,346","15,910"
Bahrain,422,455,576,820,"1,123","1,185","1,705","2,144","2,449","2,920","3,593","4,056","4,264","4,368","4,534","4,278","3,347","3,626","4,481","4,675","4,964","5,207","5,441","5,985","6,410","6,785","7,055","7,316","6,994","7,581","9,061","9,187","9,591","11,072","13,147","15,965","18,501","21,725","25,705","22,933","25,708","28,770","30,743","32,532","33,381","31,119","32,176","35,433","38,291","38,952","40,707","42,510","44,237","46,195","48,389"
Bangladesh,"6,196","5,578","6,215","6,772","8,088","8,476","9,447","9,950","12,751","14,758","22,632","22,057","20,197","21,165","24,064","24,756","25,954","28,633","30,904","34,046","35,383","36,468","36,476","38,234","41,538","45,921","48,168","50,340","51,928","53,984","54,586","54,755","57,500","63,204","68,593","70,921","75,770","85,604","97,062","108,896","122,039","131,079","141,705","161,297","183,966","208,695","235,623","262,077","287,630","314,656","348,279","374,653","408,897","446,270","487,059"
Barbados,216,243,278,339,405,476,517,588,658,798,"1,018","1,120","1,171","1,243","1,355","1,418","1,557","1,714","1,823","2,018","2,024","2,032","1,957","2,075","2,163","2,275","2,425","2,564","2,891","3,029","3,122","3,117","3,170","3,275","3,514","3,897","4,303","4,546","4,595","4,601","4,447","4,359","4,332","4,371","4,353","4,422","4,764","4,990","5,145","5,207","5,339","5,546","5,780","6,024","6,278"
Belarus,,,,,,,,,,,,,,,,,,,,,,,"12,806","11,414","15,113","10,529","14,433","14,008","15,141","12,100","13,284","12,870","15,186","18,543","23,986","31,318","38,318","46,937","62,967","50,994","57,220","61,368","65,669","75,496","78,736","56,329","47,703","54,723","59,643","60,951","63,664","66,991","70,147","73,471","76,203"
Belgium,"26,850","29,982","37,409","47,999","56,334","66,028","71,495","83,282","101,793","116,940","124,137","102,813","90,462","85,500","81,690","84,950","117,799","146,215","158,968","160,706","201,235","206,535","230,030","219,932","239,931","289,904","281,467","255,170","260,971","260,544","238,603","238,046","259,777","319,613","371,388","388,029","410,173","472,475","521,084","485,781","484,450","527,491","498,160","520,254","532,607","455,219","468,148","495,757","533,153","531,813","553,781","574,690","597,704","620,586","645,647"
Belize,25,32,42,68,90,104,82,106,121,141,172,179,179,189,211,209,228,267,315,363,412,445,518,560,581,620,641,654,689,732,832,872,933,990,"1,058","1,114","1,217","1,291","1,370","1,339","1,398","1,487","1,574","1,614","1,707","1,743","1,820","1,863","1,925","1,997","2,071","2,150","2,230","2,314","2,353"
