Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Dodo Abashidze,,1954–1988,1924-05-01,"Tbilisi, Georgian SSR, Georgia",Actor and film director,1,https://en.wikipedia.org/wiki/Dodo_Abashidze
George Abbott,,,1887-06-25,,Theatre producertheatre directorplaywrightscreenwriterfilm producerfilm director,1,https://en.wikipedia.org/wiki/George_Abbott
Jim Abrahams,,1972–present,1944-05-10,"Shorewood, Wisconsin, U.S.","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Jim_Abrahams
Abiola Abrams,,,1976-07-29,,"Author, filmmaker, TV personality",0,https://en.wikipedia.org/wiki/Abiola_Abrams
J. J. Abrams,EducationPalisades Charter High School,1982–present,1966-06-27,"New York City, New York, U.S.","Director, producer, screenwriter, musician, composer, actor, comic book writer",0,https://en.wikipedia.org/wiki/J._J._Abrams
Ivan Abramson,,,Born1869Russia,Russia,,1,https://en.wikipedia.org/wiki/Ivan_Abramson
Hany Abu-Assad,,,1961-10-11,"Nazareth, Israel",Film director,0,https://en.wikipedia.org/wiki/Hany_Abu-Assad
Tengiz Abuladze,,1956–1988,1924-01-31,"Kutaisi, Transcaucasian SFSR, USSR",,1,https://en.wikipedia.org/wiki/Tengiz_Abuladze
Herbert Achternbusch,,1971 – 2002,1938-11-23,"Munich, Germany",Film director,0,https://en.wikipedia.org/wiki/Herbert_Achternbusch
Andrew Adamson,,1990–present,1966-12-01,"Auckland, New Zealand","Film director, film producer, screenwriter, DJ",0,https://en.wikipedia.org/wiki/Andrew_Adamson
Maren Ade,,2000–present,1976-12-12,"Karlsruhe, West Germany","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Maren_Ade
Carine Adler,,1994–present,Born1948 (age 71–72)Brazil,Brazil,Film director,0,https://en.wikipedia.org/wiki/Carine_Adler
Percy Adlon,,1975–present,1935-06-01,"Munich, Germany","Director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Percy_Adlon
John G. Adolfi,,1907–1933,1888-02-19,New York City,Silent film directorActorScreenwriter,1,https://en.wikipedia.org/wiki/John_G._Adolfi
Franklin Adreon,,1935–1966,1902-11-18,"Gambrills, Maryland, U.S.","Screenwriter, director, producer, actor",1,https://en.wikipedia.org/wiki/Franklin_Adreon
Ben Affleck,,1981–present,1972-08-15,"Berkeley, California, U.S.",Actorfilmmaker,0,https://en.wikipedia.org/wiki/Ben_Affleck
Alejandro Agresti,,,1961-06-02,"Buenos Aires, Argentina",Film directorProducerScreenwriter,0,https://en.wikipedia.org/wiki/Alejandro_Agresti
Aqeel Ahmed,,,1987-07-14,"London, England","Film Director, Screenwriter & Film Producer",0,https://en.wikipedia.org/wiki/Aqeel_Ahmed_(director)
Alexandre Aja,,1997–present,1978-08-07,"Paris, France","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Alexandre_Aja
Chantal Akerman,,1968–2015,1950-06-06,"Brussels, Belgium","Film director, screenwriter, artist, and film professor",1,https://en.wikipedia.org/wiki/Chantal_Akerman
Desiree Akhavan,,2010–present,1984-12-27,"New York City, U.S.",Filmmaker actress writer,0,https://en.wikipedia.org/wiki/Desiree_Akhavan
Moustapha Akkad,,1976–2005,1930-07-01,"Aleppo, French Mandate for Syria and the Lebanon (modern day Syria)","Producer, Film Director",1,https://en.wikipedia.org/wiki/Moustapha_Akkad
R. Kan Albay,,,1975-09-01,Belgium,actor,0,https://en.wikipedia.org/wiki/R._Kan_Albay
Barbara Albert,,1991–present,1970-09-22,"Vienna, Austria","Writer, director, and producer",0,https://en.wikipedia.org/wiki/Barbara_Albert
Alan Alda,,1955–present,1936-01-28,"The Bronx, New York, U.S.",Actor author activist director screenwriter comedian,0,https://en.wikipedia.org/wiki/Alan_Alda
Robert Aldrich,,1945–1981,1918-08-09,"Cranston, Rhode Island, U.S.",Director Producer Screenwriter,1,https://en.wikipedia.org/wiki/Robert_Aldrich
Tomás Gutiérrez Alea,,1947-1996,1928-12-11,"Havana, Cuba",Film director,1,https://en.wikipedia.org/wiki/Tom%C3%A1s_Guti%C3%A9rrez_Alea
Grigori Aleksandrov,,,1903-01-23,"Ekaterinburg, Perm Governorate, Russian Empire (now Russia)","Actor, Director, Screenwriter",1,https://en.wikipedia.org/wiki/Grigori_Aleksandrov
Marc Allégret,,1927–1970,1900-12-22,"Basel, Basel-Stadt, Switzerland","Screenwriter, film director",1,https://en.wikipedia.org/wiki/Marc_All%C3%A9gret
Yves Allégret,,,1905-10-13,"Asnières-sur-Seine, Hauts-de-Seine, France",Film director,1,https://en.wikipedia.org/wiki/Yves_All%C3%A9gret
Elizabeth Allen,,1999–present,"BornStony Brook, New York, U.S.","Stony Brook, New York, U.S.",,0,https://en.wikipedia.org/wiki/Elizabeth_Allen_(director)
Irwin Allen,,1950–1986,1916-06-12,"New York City, U.S.","Film producer, film director, television producer, screenwriter",1,https://en.wikipedia.org/wiki/Irwin_Allen
Lewis Allen,,1943–1977,1905-12-25,"Oakengates, Shropshire, England, U.K.",Director,1,https://en.wikipedia.org/wiki/Lewis_Allen_(director)
Woody Allen,,1950–present,1935-12-01,"New York City, U.S.",Directorwriteractorcomedian,0,https://en.wikipedia.org/wiki/Woody_Allen
Sherman Alexie,,,1966-10-07,,"Author, poet, screenwriter, filmmaker",0,https://en.wikipedia.org/wiki/Sherman_Alexie
Syed Ali Raza Usama,,,"BornMay 26, 1980Karachi , Pakistan","Karachi , Pakistan","TV actor , Drama & Film Director",0,https://en.wikipedia.org/wiki/Syed_Ali_Raza_Usama
Pedro Almodóvar,,1974–present,1949-09-25,"Calzada de Calatrava, Castilla–La Mancha, Spain",directorscreenwriterproducer,0,https://en.wikipedia.org/wiki/Pedro_Almod%C3%B3var
Paul Almond,,1955–1992,1931-04-26,"Montreal, Quebec, Canada",Novelistfilm directorfilm producerscreenwriter,1,https://en.wikipedia.org/wiki/Paul_Almond
Robert Altman,,1947–2006,1925-02-20,"Kansas City, Missouri, U.S.",Filmmaker,1,https://en.wikipedia.org/wiki/Robert_Altman
Fede Álvarez,,2001–present,1978-02-09,"Montevideo, Uruguay",Filmmaker,0,https://en.wikipedia.org/wiki/Fede_%C3%81lvarez
Mathieu Amalric,,1984–present,1965-10-25,"Neuilly-sur-Seine, France","Actor, director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Mathieu_Amalric
Gianni Amelio,,,1945-01-20,"San Pietro di Magisano, Catanzaro",Film director,0,https://en.wikipedia.org/wiki/Gianni_Amelio
Alejandro Amenábar,,1992—present,1972-03-31,"Santiago, Chile","Film director, screen play writer and composer",0,https://en.wikipedia.org/wiki/Alejandro_Amen%C3%A1bar
Jon Amiel,,1977–present,1948-05-20,"London, England",Film director,0,https://en.wikipedia.org/wiki/Jon_Amiel
Ana Lily Amirpour,,2009–present,"BornMargate, England, United Kingdom","Margate, England, United Kingdom",Film directorscreenwriter,0,https://en.wikipedia.org/wiki/Ana_Lily_Amirpour
Lindsay Anderson,"EducationCheltenham College, Gloucestershire",1948–1993,1923-04-17,"Bangalore, British India",Film director,1,https://en.wikipedia.org/wiki/Lindsay_Anderson
Michael Anderson,,1999 (retire,1920-01-30,"London, England",Film director,1,https://en.wikipedia.org/wiki/Michael_Anderson_(director)
Mitch Anderson,,,Born1967[1]Romania[1],Romania[1],"Film director, producer, writer, researcher, editor[1]",0,https://en.wikipedia.org/wiki/Mitch_Anderson_(director)
Paul Thomas Anderson,EducationSanta Monica CollegeEmerson CollegeNew York University,1988–present,1970-06-26,"Los Angeles, California, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Paul_Thomas_Anderson
Paul W. S. Anderson,,,1965-03-04,"Wallsend, Northumberland, England[1]","Film director, producer, and screenwriter",0,https://en.wikipedia.org/wiki/Paul_W._S._Anderson
Wes Anderson,,1992–present,1969-05-01,"Houston, Texas, U.S.",Film director film producer screenwriter,0,https://en.wikipedia.org/wiki/Wes_Anderson
Brad Anderson,,1995–present,"Born1964 (age 55–56)Madison, Connecticut, United States","Madison, Connecticut, United States",Film director Producer Writer[1],0,https://en.wikipedia.org/wiki/Brad_Anderson_(director)
Roy Andersson,,1967–present,1943-03-31,"Gothenburg, Sweden",Film director,0,https://en.wikipedia.org/wiki/Roy_Andersson
Metodi Andonov,,1968-1973,1932-03-16,"Kalishte, Bulgaria",Film director,1,https://en.wikipedia.org/wiki/Metodi_Andonov
Kostas Andritsos,,,1916-05-01,Athens,Film director and writer,1,https://en.wikipedia.org/wiki/Kostas_Andritsos
Theo Angelopoulos,,1965–2012,1935-04-27,"Athens, Greece",Film director and screenwriter,1,https://en.wikipedia.org/wiki/Theo_Angelopoulos
Kenneth Anger,,1941–present,1927-02-03,"Santa Monica, California, U.S.","Filmmaker, actor, author, occultist",0,https://en.wikipedia.org/wiki/Kenneth_Anger
Ken Annakin,,1941–1992,1914-08-10,"Beverley, East Riding of Yorkshire, England",Film director,1,https://en.wikipedia.org/wiki/Ken_Annakin
Jean-Jacques Annaud,,1965–present,1943-10-01,"Juvisy-sur-Orge, Essonne, France",Film director • screenwriter • producer,0,https://en.wikipedia.org/wiki/Jean-Jacques_Annaud
Hideaki Anno,,1982–present,1960-05-22,"Ube, Yamaguchi, Japan","Artist, animator, anime creator, director, screenwriter, actor, producer, designer and businessperson",0,https://en.wikipedia.org/wiki/Hideaki_Anno
Michelangelo Antonioni,,1942–2004,1912-09-29,"Ferrara, Kingdom of Italy",Film director screenwriter film editor author,1,https://en.wikipedia.org/wiki/Michelangelo_Antonioni
Oscar Apfel,,1913–1938,1878-01-17,"Cleveland, Ohio, U.S.","Actor, director, producer, screenwriter",1,https://en.wikipedia.org/wiki/Oscar_Apfel
Michael Apted,,,1941-02-10,"Aylesbury, Buckinghamshire, England",Film director,0,https://en.wikipedia.org/wiki/Michael_Apted
Gregg Araki,"EducationUniversity of California, Santa Barbara (B.A. 1982)University of Southern California (M.F.A. 1985)",1987–present,1959-12-17,"Los Angeles, California, U.S.","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Gregg_Araki
Alfonso Aráu,,1954–present,1932-01-11,"Mexico City, Mexico","Actor, producer, director, writer",0,https://en.wikipedia.org/wiki/Alfonso_Ar%C3%A1u
Denys Arcand,,1962–present,1941-06-25,"Deschambault, Quebec, Canada","Film director, screenwriter, film producer",0,https://en.wikipedia.org/wiki/Denys_Arcand
George Archainbaud,,,1890-05-07,"Paris, France",Film and television director,1,https://en.wikipedia.org/wiki/George_Archainbaud
Jane Arden,,,1927-10-29,"Pontypool, Monmouthshire, Wales, United Kingdom","Actress, film director, playwright, poet, screenwriter and songwriter",1,https://en.wikipedia.org/wiki/Jane_Arden_(director)
Emile Ardolino,,,1943-05-09,"Queens, New York City, U.S.","Film director, choreographer",1,https://en.wikipedia.org/wiki/Emile_Ardolino
Asia Argento,,1975–present,1975-09-20,"Rome, Italy","Actress, director, singer, model, DJ, writer",0,https://en.wikipedia.org/wiki/Asia_Argento
Dario Argento,,,1940-09-07,"Rome, Italy","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Dario_Argento
Dionciel Armstrong,,,1973-12-29,"Detroit, Michigan, U.S.",Directorwriterproducer,0,https://en.wikipedia.org/wiki/Dionciel_Armstrong
Gillian Armstrong,,1970–present,1950-12-18,"Melbourne, Victoria, Australia",Film director,0,https://en.wikipedia.org/wiki/Gillian_Armstrong
Andrea Arnold,EducationAFI Conservatory,1982–present,1961-04-05,"Dartford, Kent, England",Filmmaker,0,https://en.wikipedia.org/wiki/Andrea_Arnold
Jack Arnold,,,1916-10-14,"New Haven, Connecticut, United States","Actor, director",1,https://en.wikipedia.org/wiki/Jack_Arnold_(director)
Darren Aronofsky,,,1969-02-12,"Brooklyn, New York, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Darren_Aronofsky
Fernando Arrabal,,,1932-08-11,,"Playwright, screenwriter, film director, novelist and poet",0,https://en.wikipedia.org/wiki/Fernando_Arrabal
Miguel Arteta,EducationAFI Conservatory,1990-present,1965-08-29,"San Juan, Puerto Rico",Director,0,https://en.wikipedia.org/wiki/Miguel_Arteta
Dorothy Arzner,,1922–1943,1897-01-03,"San Francisco, California, U.S.",Film director,1,https://en.wikipedia.org/wiki/Dorothy_Arzner
Hal Ashby,,1956–1988,1929-09-02,"Ogden, Utah, U.S.",Film director editor,1,https://en.wikipedia.org/wiki/Hal_Ashby
John Mallory Asher,,1990–present,1971-01-13,"Los Angeles, California, U.S.","Actor, film director, screenwriter",0,https://en.wikipedia.org/wiki/John_Mallory_Asher
Olivier Assayas,,1977–present,1955-01-25,"Paris, France","Film director, screenwriter, film critic",0,https://en.wikipedia.org/wiki/Olivier_Assayas
Anthony Asquith,,1927–1964,"Born9 November 1902London, England, UK","London, England, UK",Film director,1,https://en.wikipedia.org/wiki/Anthony_Asquith
Carlos Atanes,,1987–present,1971-11-08,"Barcelona, Spain","Film director, producer, screenwriter, playwright",0,https://en.wikipedia.org/wiki/Carlos_Atanes
Richard Attenborough,,,1923-08-29,,,1,https://en.wikipedia.org/wiki/Richard_Attenborough
Jacques Audiard,,1974–present,1952-04-30,"Paris, France","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Jacques_Audiard
