budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,education,year active,birth day,birth place,roles,died,link,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
8000000.0,Columbia Pictures Corporation,United States,Rob Reiner,Adventure,52287414.0,Stand by Me,R,1986-08-22,89,8.1,Wil Wheaton,299174,Stephen King,1986,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
16000000.0,Act III Communications,United States,Rob Reiner,Adventure,30857814.0,The Princess Bride,PG,1987-10-09,98,8.1,Cary Elwes,320953,William Goldman,1987,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
16000000.0,Castle Rock Entertainment,United States,Rob Reiner,Comedy,92823600.0,When Harry Met Sally...,R,1989-07-21,96,7.6,Billy Crystal,161347,Nora Ephron,1989,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
20000000.0,Castle Rock Entertainment,United States,Rob Reiner,Crime,61276872.0,Misery,R,1990-11-30,107,7.8,James Caan,147278,Stephen King,1990,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
40000000.0,Columbia Pictures Corporation,United States,Rob Reiner,Drama,141340178.0,A Few Good Men,R,1992-12-11,138,7.7,Tom Cruise,196002,Aaron Sorkin,1992,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
40000000.0,Castle Rock Entertainment,United States,Rob Reiner,Adventure,7138449.0,North,PG,1994-07-22,87,4.4,Elijah Wood,11852,Alan Zweibel,1994,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
62000000.0,Universal Pictures,United States,Rob Reiner,Comedy,65000000.0,The American President,PG-13,1995-11-17,114,6.8,Michael Douglas,45293,Aaron Sorkin,1995,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
36000000.0,Castle Rock Entertainment,United States,Rob Reiner,Drama,13052741.0,Ghosts of Mississippi,PG-13,1997-01-03,130,6.7,Alec Baldwin,8989,Lewis Colick,1996,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
50000000.0,Castle Rock Entertainment,United States,Rob Reiner,Comedy,27067160.0,The Story of Us,R,1999-10-15,95,5.9,Bruce Willis,19215,Alan Zweibel,1999,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
30000000.0,Epsilon Motion Pictures,United States,Rob Reiner,Comedy,14208384.0,Alex & Emma,PG-13,2003-06-20,100,5.6,Luke Wilson,11953,Jeremy Leven,2003,,1967-present,1947-03-06,"The Bronx, New York, U.S.","Actor, comedian, filmmaker",0,https://en.wikipedia.org/wiki/Rob_Reiner,1024800.0,1113100.0,1225000.0,1369300.0,1485900.0,1623400.0,1809100.0,2013600.0,2276000.0,2543500.0,2862475.0,3210950.0,3345000.0,3638125.0,4040700.0,4346750.0,4590125.0,4870225.0,5252625.0,5657700.0,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0,22198116.0,23059653.0,23922822.0,24812956.0,25728734.0
